fecha;material;planta;altura;ancho;rel_alto_ancho;circ_tallo;num_pan;avg_cap_pan;long_pan;ancho_pan;long_pa;sem_cap;larg_sem;anch_sem;peso_100sem
45606;INT EARTH-1;1,00;3,36;2,90;1,16;32,00;159,00;8,50;6,04;3,35;2,66;48,90;6,16;4,71;4,33
45606;INT EARTH-1;2,00;4,71;4,10;1,15;36,00;329,00;13,60;6,54;3,73;3,11;48,11;6,21;4,62;3,56
45606;INT EARTH-1;3,00;4,93;2,60;1,90;35,00;227,00;8,40;5,63;3,34;2,29;45,80;6,18;4,72;4,10
45606;INT 12891-1;1,00;4,73;7,00;0,68;80,10;222,00;8,90;5,12;4,14;3,05;49,00;6,11;5,05;2,49
45606;INT 12891-1;2,00;3,67;5,10;0,72;52,00;239,00;6,60;5,11;3,89;2,51;41,10;5,51;4,73;0,82
45606;INT 12891-1;3,00;6,31;10,60;0,60;114,00;408,00;9,20;5,20;4,36;2,88;45,40;5,94;4,63;1,36
45606;INT 12891-1;4,00;4,68;5,32;0,88;53,50;117,00;12,20;4,11;3,24;2,04;37,20;5,53;3,90;2,83
45606;INT 11646-2;1,00;6,20;7,90;0,78;57,00;211,00;8,50;5,61;3,46;2,34;28,50;6,81;5,72;2,42
45610;INT 11646-2;2,00;6,26;3,25;1,93;42,50;192,00;8,50;5,79;3,63;2,44;31,50;7,22;5,91;2,93
45335;INT 11646-2;3,00;5,79;4,30;1,35;57,50;194,00;10,20;6,15;3,68;2,55;65,30;6,97;5,52;3,26
45335;INT 11646-2;5,00;4,42;5,10;0,87;49,00;136,00;10,10;6,00;3,65;2,39;36,00;7,39;5,85;2,54
45610;INT 9931-1;1,00;5,11;5,40;0,95;58,00;412,00;4,90;6,51;4,10;2,94;43,70;5,77;4,97;0,72
45610;INT 9931-1;2,00;4,23;4,52;0,94;46,00;250,00;6,90;6,24;4,03;2,74;47,40;5,62;5,00;1,26
45335;INT 11549-2;1,00;4,13;5,42;0,76;40,00;36,00;6,67;5,23;2,46;2,50;36,30;6,65;5,47;3,85
45335;INT 11549-2;2,00;4,97;2,84;1,75;39,00;82,00;6,60;4,82;2,53;2,12;38,80;6,40;5,22;3,84
45335;INT 11549-2;3,00;5,24;4,80;1,09;40,00;38,00;5,25;4,74;2,53;2,01;41,10;6,35;5,32;3,47
45335;INT 11549-2;4,00;5,26;4,52;1,16;50,00;87,00;5,67;4,47;2,44;1,88;32,67;6,38;5,25;2,97
45335;INT 11549-4;2,00;3,32;2,10;1,58;22,00;32,00;8,66;4,90;2,20;2,10;15,22;6,80;5,44;3,56
45335;INT 6112-2;1,00;5,22;5,40;0,97;44,00;137,00;12,00;5,77;3,17;2,35;23,50;6,09;4,75;2,07
45335;INT 6112-2;2,00;4,58;5,40;0,85;37,00;63,00;11,60;5,26;3,07;2,31;38,00;6,28;5,24;2,33
45335;INT 6112-2;3,00;4,71;7,60;0,62;44,00;154,00;9,10;5,35;3,12;2,03;34,90;6,44;5,40;2,49
45335;INT 6112-2;4,00;2,67;4,70;0,57;34,00;65,00;6,10;5,14;2,75;2,11;37,40;6,37;5,28;3,16
45335;INT 11395-2;1,00;4,76;3,90;1,22;46,00;182,00;16,40;5,83;2,38;2,52;21,90;7,29;6,18;3,87
45335;INT 11395-2;4,00;4,36;3,00;1,45;46,00;267,00;13,10;6,05;2,32;2,48;27,60;7,07;5,81;3,43
45335;INT 12300-3;1,00;6,42;7,50;0,86;52,00;240,00;13,90;6,59;3,45;3,09;30,70;6,60;5,16;2,46
45335;INT 12300-3;2,00;6,87;6,60;1,04;55,00;128,00;10,20;5,82;3,09;2,64;37,80;5,97;4,70;2,03
45335;EARTH-FIO;1,00;4,44;5,90;0,75;20,50;531,00;19,00;3,92;2,65;1,92;28,00;5,77;4,55;1,02

